city,outlet,headline_uk,link,published,quote_uk,category,status,provenance,provenance_detail_uk,run
Ivano-Frankivsk,Суспільне (нац.),(зведення),https://suspilne.media/1356356-u-kievi-zbirautsa-na-kartonkovij-protest-na-pidtrimku-fedorova/,"16.07, онов. 11:41","«Орієнтовно, сотня людей»",100–999,took place,relay,дзеркало регіоналки,13:00
Ternopil,Суспільне Тернопіль,У Тернополі відбувається акція проти звільнення міністра оборони,https://suspilne.media/ternopil/1356390-u-ternopoli-vidbuvaetsa-akcia-proti-zvilnenna-ministra-oboroni/,"16.07, 09:40","«Кореспонденти Суспільного повідомили, що на акцію прийшло майже 100 людей»",100–999,took place,own correspondent,власні кор.,13:00
Ternopil,0352.ua,"«Не ламайте те, що працює»: люди не розходяться, акція протесту під стінами ТОВА триває",https://www.0352.ua/news/4130776/ne-lamajte-te-so-pracue-ludi-ne-rozhodatsa-akcia-protestu-pid-stinami-tova-trivae-foto,"16.07, 10:45",«Понад сотня людей вкотре вийшли на «картонковий майдан»»,100–999,took place,own correspondent,власне видання,13:00
Ternopil,0352.ua,«Федоров — міністр оборони»: що відбувалося сьогодні біля Тернопільської облради,https://www.0352.ua/news/4130754/fedorov-ministr-oboroni-so-vidbuvalosa-sogodni-bila-ternopilskoi-oblradi,"16.07, 10:09",невідомо,unknown,took place,own correspondent,власне видання,13:00
Ternopil,ТСН,(зведення),https://tsn.ua/ukrayina/syrskomu-ye-zamina-u-kyyevi-i-lvovi-spalakhnuly-protesty-proty-zvilnennia-fedorova-onlayn-foto-video-3128690.html,"16.07, 09:31",невідомо,unknown,took place,open-source photo,фото © 20 хвилин,13:00
Ternopil,NV (лайв),(лайв-блог),https://nv.ua/ukr/ukraine/politics/vidstavka-mihayla-fedorova-prizvela-do-kritiki-i-zaklikiv-do-kartonkovih-protestiv-novini-ukrajini-50624683.html,"16.07, 11:21",невідомо,unknown,took place,not stated,не вказано,13:00
Lutsk,ZAXID.NET,(зведення),https://zaxid.net/ukrayintsi_viyshli_na_mitingi_proti_vidstavki_mihayla_fedorova_z_posadi_ministra_oboroni_n1641668,"16.07, 10:12",«У центрі Луцька 16 липня близько сотні містян вийшли на протест… а також вимогою відправити у відставку головнокомандувача ЗСУ Олександра Сирського»,100–999,took place,not stated,не вказано,13:00
Lutsk,ВолиньPost,—,https://www.volynpost.com/news/267681,16.07,"«Учасники з 9:00 почали збиратися на Театральному майдані Луцька, повідомила кореспондентка Суспільного»",unknown,took place,relay,ретрансляція,13:00
Lutsk,Конкурент,У Луцьку акція протесту через звільнення міністра Федорова,https://konkurent.ua/publication/181952/u-lutsku-aktsiya-protestu-cherez-zvilnennya-ministra-fedorova-foto/,"16.07, 09:30",тіло не витягується (JS-рендер) — не перевірено,unknown,took place,not stated,,13:00
Lutsk,Суспільне (нац.),(зведення),https://suspilne.media/1356356-u-kievi-zbirautsa-na-kartonkovij-protest-na-pidtrimku-fedorova/,"16.07, онов. 11:41",невідомо,unknown,took place,own correspondent,кор. з місця,13:00
Khmelnytskyi,Поділля News,У Хмельницькому містяни вийшли на акцію проти відставки Михайла Федорова,https://podillyanews.com/2026/07/16/u-hmelnytskomu-misiany-vyjshly-na-aktsiyu-proty-vidstavky-myhajla-fedorova/,"16.07, 11:00","«На початку акції, за різними оцінками, зібралися понад шість десятків людей, однак упродовж ранку їхня кількість збільшувалася. Станом на 9:30 місцеві видання повідомляли вже приблизно про сотню учасників»",100–999,took place,relay,ретрансляція місцевих медіа,13:00
